Translator,PoemID,opN,ctN,TotalMatch,Unmatch,ExactMatch,FieldMatch,GroupMatch,AdditionRate,UnmatchRate,TotalMatch_a,Unmatch_a,ExactMatch_a,FieldMatch_a,GroupMatch_a,AdditionRate_a,UnmatchRate_a
takeoka,0117,21,25,19,2,12,2,5,0.24,0.09523809523809523,16,5,12,2,2,0.36,0.23809523809523808
kaneko,0118,19,40,16,3,8,3,5,0.6,0.15789473684210525,14,5,8,3,3,0.65,0.2631578947368421
katagiri,0118,19,37,15,4,8,3,4,0.5945945945945945,0.21052631578947367,12,7,8,3,1,0.6756756756756757,0.3684210526315789
kojimaarai,0118,19,32,15,4,9,1,5,0.53125,0.21052631578947367,12,7,9,1,2,0.625,0.3684210526315789
komachiya,0118,19,31,13,6,6,2,5,0.5806451612903225,0.3157894736842105,11,8,6,2,3,0.6451612903225806,0.42105263157894735
kubota,0118,19,56,15,4,11,2,2,0.7321428571428572,0.21052631578947367,14,5,9,2,3,0.75,0.2631578947368421
kyusojin,0118,19,42,14,5,7,2,5,0.6666666666666667,0.2631578947368421,12,7,7,2,3,0.7142857142857143,0.3684210526315789
matsuda,0118,19,43,15,4,8,2,5,0.6511627906976745,0.21052631578947367,11,8,8,2,1,0.7441860465116279,0.42105263157894735
okumura,0118,19,40,15,4,8,2,5,0.625,0.21052631578947367,10,9,7,2,1,0.75,0.47368421052631576
ozawa,0118,19,44,15,4,9,3,3,0.6590909090909092,0.21052631578947367,12,7,7,3,2,0.7272727272727273,0.3684210526315789
takeoka,0118,19,23,14,5,7,2,5,0.3913043478260869,0.2631578947368421,9,10,7,2,0,0.6086956521739131,0.5263157894736842
kaneko,0119,18,52,15,3,13,1,1,0.7115384615384616,0.16666666666666666,13,5,12,1,0,0.75,0.2777777777777778
katagiri,0119,18,37,15,3,12,1,2,0.5945945945945945,0.16666666666666666,12,6,10,1,1,0.6756756756756757,0.3333333333333333
kojimaarai,0119,18,25,15,3,12,1,2,0.4,0.16666666666666666,12,6,11,1,0,0.52,0.3333333333333333
komachiya,0119,18,39,14,4,11,1,2,0.641025641025641,0.2222222222222222,12,6,10,1,1,0.6923076923076923,0.3333333333333333
kubota,0119,18,36,16,2,13,1,2,0.5555555555555556,0.1111111111111111,14,4,13,1,0,0.6111111111111112,0.2222222222222222
kyusojin,0119,18,33,15,3,11,1,3,0.5454545454545454,0.16666666666666666,11,7,10,1,0,0.6666666666666667,0.3888888888888889
matsuda,0119,18,29,14,4,11,1,2,0.5172413793103448,0.2222222222222222,12,6,10,1,1,0.5862068965517242,0.3333333333333333
okumura,0119,18,44,14,4,12,1,1,0.6818181818181819,0.2222222222222222,10,8,9,1,0,0.7727272727272727,0.4444444444444444
ozawa,0119,18,38,15,3,12,0,3,0.6052631578947368,0.16666666666666666,9,9,9,0,0,0.7631578947368421,0.5
takeoka,0119,18,34,15,3,13,0,2,0.5588235294117647,0.16666666666666666,12,6,12,0,0,0.6470588235294117,0.3333333333333333
kaneko,0120,17,33,12,5,7,2,3,0.6363636363636364,0.29411764705882354,10,7,7,1,2,0.696969696969697,0.4117647058823529
katagiri,0120,17,55,14,3,10,3,1,0.7454545454545455,0.17647058823529413,12,5,10,1,1,0.7818181818181819,0.29411764705882354
kojimaarai,0120,17,35,12,5,9,1,2,0.6571428571428571,0.29411764705882354,11,6,9,1,1,0.6857142857142857,0.35294117647058826
komachiya,0120,17,42,15,2,10,2,3,0.6428571428571428,0.11764705882352941,11,6,9,2,0,0.7380952380952381,0.35294117647058826
kubota,0120,17,34,15,2,9,2,4,0.5588235294117647,0.11764705882352941,12,5,9,2,1,0.6470588235294117,0.29411764705882354
kyusojin,0120,17,26,10,7,5,2,3,0.6153846153846154,0.4117647058823529,7,10,5,2,0,0.7307692307692308,0.5882352941176471
matsuda,0120,17,32,12,5,7,2,3,0.625,0.29411764705882354,9,8,6,2,1,0.71875,0.47058823529411764
okumura,0120,17,24,13,4,7,2,4,0.45833333333333337,0.23529411764705882,10,7,7,1,2,0.5833333333333333,0.4117647058823529
ozawa,0120,17,58,15,2,10,1,4,0.7413793103448276,0.11764705882352941,10,7,7,1,2,0.8275862068965517,0.4117647058823529
takeoka,0120,17,33,14,3,8,3,3,0.5757575757575757,0.17647058823529413,12,5,8,3,1,0.6363636363636364,0.29411764705882354
kaneko,0121,15,39,10,5,8,1,1,0.7435897435897436,0.3333333333333333,9,6,7,1,1,0.7692307692307692,0.4
katagiri,0121,15,24,9,6,7,2,0,0.625,0.4,8,7,6,2,0,0.6666666666666667,0.4666666666666667
kojimaarai,0121,15,24,13,2,5,2,6,0.45833333333333337,0.13333333333333333,7,8,5,1,1,0.7083333333333333,0.5333333333333333
komachiya,0121,15,28,13,2,8,1,4,0.5357142857142857,0.13333333333333333,8,7,7,1,0,0.7142857142857143,0.4666666666666667
kubota,0121,15,21,10,5,5,2,3,0.5238095238095238,0.3333333333333333,9,6,5,2,2,0.5714285714285714,0.4
kyusojin,0121,15,27,13,2,8,1,4,0.5185185185185186,0.13333333333333333,8,7,7,1,0,0.7037037037037037,0.4666666666666667
matsuda,0121,15,22,10,5,6,2,2,0.5454545454545454,0.3333333333333333,9,6,6,2,1,0.5909090909090908,0.4
okumura,0121,15,25,13,2,8,1,4,0.48,0.13333333333333333,7,8,6,1,0,0.72,0.5333333333333333
ozawa,0121,15,31,14,1,5,2,7,0.5483870967741935,0.06666666666666667,4,11,3,1,0,0.8709677419354839,0.7333333333333333
takeoka,0121,15,22,11,4,8,1,2,0.5,0.26666666666666666,8,7,7,1,0,0.6363636363636364,0.4666666666666667
kaneko,0122,17,31,17,0,9,4,4,0.4516129032258065,0.0,14,3,9,4,1,0.5483870967741935,0.17647058823529413
katagiri,0122,17,32,14,3,7,2,5,0.5625,0.17647058823529413,9,8,6,2,1,0.71875,0.47058823529411764
kojimaarai,0122,17,30,15,2,9,2,4,0.5,0.11764705882352941,10,7,9,1,0,0.6666666666666667,0.4117647058823529
komachiya,0122,17,34,15,2,8,3,4,0.5588235294117647,0.11764705882352941,11,6,7,3,1,0.6764705882352942,0.35294117647058826
kubota,0122,17,28,17,0,10,2,5,0.3928571428571429,0.0,12,5,10,2,0,0.5714285714285714,0.29411764705882354
kyusojin,0122,17,36,16,1,7,3,6,0.5555555555555556,0.058823529411764705,9,8,7,2,0,0.75,0.47058823529411764
matsuda,0122,17,28,17,0,9,3,5,0.3928571428571429,0.0,12,5,9,3,0,0.5714285714285714,0.29411764705882354
okumura,0122,17,30,13,4,6,4,3,0.5666666666666667,0.23529411764705882,9,8,5,4,0,0.7,0.47058823529411764
ozawa,0122,17,35,14,3,7,3,4,0.6,0.17647058823529413,8,9,6,1,1,0.7714285714285715,0.5294117647058824
takeoka,0122,17,23,17,0,9,4,4,0.26086956521739135,0.0,11,6,8,3,0,0.5217391304347826,0.35294117647058826
kaneko,0123,26,42,18,8,11,5,2,0.5714285714285714,0.3076923076923077,14,12,9,3,2,0.6666666666666667,0.46153846153846156
katagiri,0123,26,34,16,10,9,3,4,0.5294117647058824,0.38461538461538464,11,15,8,1,2,0.6764705882352942,0.5769230769230769
kojimaarai,0123,26,28,18,8,10,5,3,0.3571428571428571,0.3076923076923077,13,13,7,2,4,0.5357142857142857,0.5
komachiya,0123,26,40,18,8,10,4,4,0.55,0.3076923076923077,10,16,6,2,2,0.75,0.6153846153846154
kubota,0123,26,34,20,6,11,4,5,0.4117647058823529,0.23076923076923078,14,12,8,2,4,0.5882352941176471,0.46153846153846156
kyusojin,0123,26,37,18,8,9,4,5,0.5135135135135135,0.3076923076923077,13,13,8,2,3,0.6486486486486487,0.5
matsuda,0123,26,24,19,7,10,3,6,0.20833333333333337,0.2692307692307692,13,13,9,1,3,0.45833333333333337,0.5
okumura,0123,26,37,16,10,8,4,4,0.5675675675675675,0.38461538461538464,10,16,5,1,4,0.7297297297297297,0.6153846153846154
ozawa,0123,26,48,19,7,10,4,5,0.6041666666666667,0.2692307692307692,12,14,6,2,4,0.75,0.5384615384615384
takeoka,0123,26,32,16,10,10,3,3,0.5,0.38461538461538464,12,14,8,2,2,0.625,0.5384615384615384
kaneko,0124,15,36,13,2,6,4,3,0.6388888888888888,0.13333333333333333,11,4,6,3,2,0.6944444444444444,0.26666666666666666
katagiri,0124,15,41,15,0,8,2,5,0.6341463414634146,0.0,12,3,8,2,2,0.7073170731707317,0.2
kojimaarai,0124,15,25,12,3,5,4,3,0.52,0.2,10,5,5,4,1,0.6,0.3333333333333333
komachiya,0124,15,29,13,2,6,3,4,0.5517241379310345,0.13333333333333333,11,4,6,3,2,0.6206896551724138,0.26666666666666666
kubota,0124,15,29,13,2,6,3,4,0.5517241379310345,0.13333333333333333,11,4,6,3,2,0.6206896551724138,0.26666666666666666
kyusojin,0124,15,35,14,1,6,3,5,0.6,0.06666666666666667,12,3,5,3,4,0.6571428571428571,0.2
matsuda,0124,15,32,14,1,7,3,4,0.5625,0.06666666666666667,13,2,7,3,3,0.59375,0.13333333333333333
okumura,0124,15,28,13,2,6,3,4,0.5357142857142857,0.13333333333333333,10,5,5,3,2,0.6428571428571428,0.3333333333333333
ozawa,0124,15,32,14,1,7,3,4,0.5625,0.06666666666666667,11,4,6,3,2,0.65625,0.26666666666666666
takeoka,0124,15,24,14,1,6,3,5,0.41666666666666663,0.06666666666666667,12,3,6,3,3,0.5,0.2
kaneko,0125,15,39,11,4,5,3,3,0.717948717948718,0.26666666666666666,8,7,5,2,1,0.7948717948717949,0.4666666666666667
katagiri,0125,15,29,12,3,6,2,4,0.5862068965517242,0.2,9,6,6,2,1,0.6896551724137931,0.4
kojimaarai,0125,15,31,13,2,6,4,3,0.5806451612903225,0.13333333333333333,10,5,5,4,1,0.6774193548387097,0.3333333333333333
komachiya,0125,15,20,12,3,7,4,1,0.4,0.2,8,7,4,4,0,0.6,0.4666666666666667
kubota,0125,15,36,13,2,9,3,1,0.6388888888888888,0.13333333333333333,10,5,7,3,0,0.7222222222222222,0.3333333333333333
kyusojin,0125,15,52,13,2,6,3,4,0.75,0.13333333333333333,11,4,4,4,3,0.7884615384615384,0.26666666666666666
matsuda,0125,15,34,10,5,5,2,3,0.7058823529411764,0.3333333333333333,8,7,5,2,1,0.7647058823529411,0.4666666666666667
okumura,0125,15,23,13,2,8,4,1,0.4347826086956522,0.13333333333333333,8,7,4,4,0,0.6521739130434783,0.4666666666666667
ozawa,0125,15,38,14,1,6,6,2,0.631578947368421,0.06666666666666667,10,5,4,6,0,0.736842105263158,0.3333333333333333
takeoka,0125,15,26,13,2,9,3,1,0.5,0.13333333333333333,11,4,7,3,1,0.5769230769230769,0.26666666666666666
kaneko,0126,18,47,13,5,9,2,2,0.7234042553191489,0.2777777777777778,9,9,8,1,0,0.8085106382978724,0.5
katagiri,0126,18,37,12,6,7,3,2,0.6756756756756757,0.3333333333333333,9,9,7,2,0,0.7567567567567568,0.5
kojimaarai,0126,18,21,12,6,8,2,2,0.4285714285714286,0.3333333333333333,11,7,8,2,1,0.47619047619047616,0.3888888888888889
komachiya,0126,18,30,13,5,10,2,1,0.5666666666666667,0.2777777777777778,11,7,9,2,0,0.6333333333333333,0.3888888888888889
kubota,0126,18,31,11,7,7,1,3,0.6451612903225806,0.3888888888888889,8,10,7,1,0,0.7419354838709677,0.5555555555555556
kyusojin,0126,18,32,13,5,9,2,2,0.59375,0.2777777777777778,10,8,7,1,2,0.6875,0.4444444444444444
matsuda,0126,18,28,13,5,10,2,1,0.5357142857142857,0.2777777777777778,11,7,9,2,0,0.6071428571428572,0.3888888888888889
okumura,0126,18,28,12,6,7,2,3,0.5714285714285714,0.3333333333333333,10,8,7,2,1,0.6428571428571428,0.4444444444444444
ozawa,0126,18,28,13,5,10,2,1,0.5357142857142857,0.2777777777777778,11,7,9,2,0,0.6071428571428572,0.3888888888888889
takeoka,0126,18,32,12,6,9,1,2,0.625,0.3333333333333333,10,8,6,2,2,0.6875,0.4444444444444444
kaneko,0127,15,42,13,2,10,2,1,0.6904761904761905,0.13333333333333333,11,4,7,2,2,0.7380952380952381,0.26666666666666666
katagiri,0127,15,42,12,3,8,1,3,0.7142857142857143,0.2,8,7,5,1,2,0.8095238095238095,0.4666666666666667
kojimaarai,0127,15,44,13,2,7,3,3,0.7045454545454546,0.13333333333333333,10,5,6,2,2,0.7727272727272727,0.3333333333333333
komachiya,0127,15,31,10,5,7,1,2,0.6774193548387097,0.3333333333333333,9,6,6,1,2,0.7096774193548387,0.4
kubota,0127,15,25,10,5,7,1,2,0.6,0.3333333333333333,9,6,7,1,1,0.64,0.4
kyusojin,0127,15,24,11,4,5,3,3,0.5416666666666667,0.26666666666666666,7,8,4,1,2,0.7083333333333333,0.5333333333333333
matsuda,0127,15,27,11,4,5,3,3,0.5925925925925926,0.26666666666666666,7,8,4,1,2,0.7407407407407407,0.5333333333333333
okumura,0127,15,32,12,3,7,3,2,0.625,0.2,8,7,6,1,1,0.75,0.4666666666666667
ozawa,0127,15,49,11,4,7,2,2,0.7755102040816326,0.26666666666666666,8,7,6,1,1,0.8367346938775511,0.4666666666666667
takeoka,0127,15,25,13,2,10,2,1,0.48,0.13333333333333333,12,3,9,2,1,0.52,0.2
kaneko,0128,16,36,11,5,6,1,4,0.6944444444444444,0.3125,8,8,6,1,1,0.7777777777777778,0.5
katagiri,0128,16,37,12,4,7,2,3,0.6756756756756757,0.25,9,7,7,0,2,0.7567567567567568,0.4375
kojimaarai,0128,16,33,13,3,6,4,3,0.6060606060606061,0.1875,9,7,6,1,2,0.7272727272727273,0.4375
komachiya,0128,16,36,12,4,7,4,1,0.6666666666666667,0.25,10,6,7,1,2,0.7222222222222222,0.375
kubota,0128,16,32,13,3,7,2,4,0.59375,0.1875,9,7,7,0,2,0.71875,0.4375
kyusojin,0128,16,46,13,3,7,4,2,0.7173913043478262,0.1875,9,7,6,1,2,0.8043478260869565,0.4375
matsuda,0128,16,38,13,3,7,2,4,0.6578947368421053,0.1875,11,5,7,1,3,0.7105263157894737,0.3125
okumura,0128,16,38,9,7,5,3,1,0.7631578947368421,0.4375,5,11,2,1,2,0.868421052631579,0.6875
ozawa,0128,16,35,10,6,5,3,2,0.7142857142857143,0.375,8,8,4,1,3,0.7714285714285715,0.5
takeoka,0128,16,27,15,1,6,3,6,0.4444444444444444,0.0625,11,5,6,1,4,0.5925925925925926,0.3125
kaneko,0129,18,40,13,5,10,1,2,0.675,0.2777777777777778,12,6,10,1,1,0.7,0.3333333333333333
katagiri,0129,18,47,16,2,10,1,5,0.6595744680851063,0.1111111111111111,14,4,10,1,3,0.7021276595744681,0.2222222222222222
kojimaarai,0129,18,31,14,4,9,2,3,0.5483870967741935,0.2222222222222222,13,5,9,2,2,0.5806451612903225,0.2777777777777778
komachiya,0129,18,36,16,2,9,4,3,0.5555555555555556,0.1111111111111111,15,3,6,3,6,0.5833333333333333,0.16666666666666666
kubota,0129,18,48,15,3,8,4,3,0.6875,0.16666666666666666,13,5,8,3,2,0.7291666666666667,0.2777777777777778
kyusojin,0129,18,34,14,4,8,3,3,0.5882352941176471,0.2222222222222222,12,6,6,1,5,0.6470588235294117,0.3333333333333333
matsuda,0129,18,36,16,2,10,4,2,0.5555555555555556,0.1111111111111111,13,5,10,2,1,0.6388888888888888,0.2777777777777778
okumura,0129,18,49,15,3,8,3,4,0.6938775510204082,0.16666666666666666,13,5,7,2,4,0.7346938775510203,0.2777777777777778
ozawa,0129,18,36,16,2,9,2,5,0.5555555555555556,0.1111111111111111,13,5,9,2,2,0.6388888888888888,0.2777777777777778
takeoka,0129,18,33,16,2,10,3,3,0.5151515151515151,0.1111111111111111,15,3,10,2,3,0.5454545454545454,0.16666666666666666
kaneko,0130,18,49,14,4,10,2,2,0.7142857142857143,0.2222222222222222,8,10,4,1,3,0.8367346938775511,0.5555555555555556
katagiri,0130,18,22,10,8,7,1,2,0.5454545454545454,0.4444444444444444,7,11,5,1,1,0.6818181818181819,0.6111111111111112
kojimaarai,0130,18,31,13,5,9,2,2,0.5806451612903225,0.2777777777777778,10,8,7,1,2,0.6774193548387097,0.4444444444444444
komachiya,0130,18,26,13,5,10,1,2,0.5,0.2777777777777778,11,7,10,1,0,0.5769230769230769,0.3888888888888889
kubota,0130,18,36,12,6,8,1,3,0.6666666666666667,0.3333333333333333,9,9,6,1,2,0.75,0.5
kyusojin,0130,18,33,13,5,8,1,4,0.6060606060606061,0.2777777777777778,8,10,6,0,2,0.7575757575757576,0.5555555555555556
matsuda,0130,18,42,12,6,11,0,1,0.7142857142857143,0.3333333333333333,8,10,8,0,0,0.8095238095238095,0.5555555555555556
okumura,0130,18,54,15,3,10,0,5,0.7222222222222222,0.16666666666666666,12,6,7,0,5,0.7777777777777778,0.3333333333333333
ozawa,0130,18,43,11,7,7,0,4,0.7441860465116279,0.3888888888888889,7,11,4,0,3,0.8372093023255813,0.6111111111111112
takeoka,0130,18,25,13,5,10,1,2,0.48,0.2777777777777778,10,8,9,0,1,0.6,0.4444444444444444
kaneko,0131,17,46,17,0,11,3,3,0.6304347826086957,0.0,13,4,9,4,0,0.7173913043478262,0.23529411764705882
katagiri,0131,17,24,13,4,8,2,3,0.45833333333333337,0.23529411764705882,10,7,8,2,0,0.5833333333333333,0.4117647058823529
kojimaarai,0131,17,39,12,5,8,0,4,0.6923076923076923,0.29411764705882354,9,8,8,0,1,0.7692307692307692,0.47058823529411764
komachiya,0131,17,21,14,3,9,2,3,0.33333333333333337,0.17647058823529413,11,6,9,2,0,0.47619047619047616,0.35294117647058826
kubota,0131,17,28,17,0,9,4,4,0.3928571428571429,0.0,14,3,9,4,1,0.5,0.17647058823529413
kyusojin,0131,17,35,16,1,10,2,4,0.5428571428571429,0.058823529411764705,11,6,10,1,0,0.6857142857142857,0.35294117647058826
matsuda,0131,17,36,15,2,10,2,3,0.5833333333333333,0.11764705882352941,11,6,9,2,0,0.6944444444444444,0.35294117647058826
okumura,0131,17,27,14,3,9,2,3,0.4814814814814815,0.17647058823529413,10,7,8,2,0,0.6296296296296297,0.4117647058823529
ozawa,0131,17,32,10,7,5,2,3,0.6875,0.4117647058823529,5,12,3,2,0,0.84375,0.7058823529411765
takeoka,0131,17,25,14,3,8,2,4,0.43999999999999995,0.17647058823529413,10,7,8,2,0,0.6,0.4117647058823529
kaneko,0132,16,37,13,3,8,1,4,0.6486486486486487,0.1875,9,7,8,1,0,0.7567567567567568,0.4375
katagiri,0132,16,61,11,5,8,0,3,0.819672131147541,0.3125,7,9,6,0,1,0.8852459016393442,0.5625
kojimaarai,0132,16,34,13,3,7,2,4,0.6176470588235294,0.1875,9,7,5,1,3,0.7352941176470589,0.4375
komachiya,0132,16,25,13,3,6,2,5,0.48,0.1875,9,7,4,2,3,0.64,0.4375
kubota,0132,16,80,13,3,8,2,3,0.8375,0.1875,7,9,4,1,2,0.9125,0.5625
kyusojin,0132,16,36,12,4,7,2,3,0.6666666666666667,0.25,8,8,6,1,1,0.7777777777777778,0.5
matsuda,0132,16,33,13,3,8,1,4,0.6060606060606061,0.1875,8,8,6,0,2,0.7575757575757576,0.5
okumura,0132,16,31,12,4,7,1,4,0.6129032258064516,0.25,7,9,4,1,2,0.7741935483870968,0.5625
ozawa,0132,16,53,11,5,6,1,4,0.7924528301886793,0.3125,8,8,3,0,5,0.8490566037735849,0.5
takeoka,0132,16,28,13,3,9,2,2,0.5357142857142857,0.1875,11,5,8,2,1,0.6071428571428572,0.3125
kaneko,0133,20,44,19,1,11,2,6,0.5681818181818181,0.05,15,5,11,2,2,0.6590909090909092,0.25
katagiri,0133,20,28,19,1,12,1,6,0.3214285714285714,0.05,15,5,12,1,2,0.4642857142857143,0.25
kojimaarai,0133,20,30,19,1,11,1,7,0.3666666666666667,0.05,17,3,11,1,5,0.43333333333333335,0.15
komachiya,0133,20,36,17,3,12,1,4,0.5277777777777778,0.15,14,6,12,1,1,0.6111111111111112,0.3
kubota,0133,20,29,17,3,8,3,6,0.4137931034482759,0.15,13,7,7,3,3,0.5517241379310345,0.35
kyusojin,0133,20,35,19,1,12,1,6,0.4571428571428572,0.05,15,5,12,1,2,0.5714285714285714,0.25
matsuda,0133,20,34,18,2,11,2,5,0.47058823529411764,0.1,14,6,9,2,3,0.5882352941176471,0.3
okumura,0133,20,35,18,2,10,1,7,0.48571428571428577,0.1,14,6,10,1,3,0.6,0.3
ozawa,0133,20,58,19,1,12,1,6,0.6724137931034483,0.05,15,5,11,0,4,0.7413793103448276,0.25
takeoka,0133,20,32,20,0,12,2,6,0.375,0.0,17,3,12,2,3,0.46875,0.15
kaneko,0134,18,33,16,2,9,3,4,0.5151515151515151,0.1111111111111111,12,6,8,3,1,0.6363636363636364,0.3333333333333333
katagiri,0134,18,49,16,2,11,0,5,0.6734693877551021,0.1111111111111111,6,12,4,0,2,0.8775510204081632,0.6666666666666666
kojimaarai,0134,18,39,16,2,9,2,5,0.5897435897435898,0.1111111111111111,12,6,8,2,2,0.6923076923076923,0.3333333333333333
komachiya,0134,18,26,16,2,10,1,5,0.3846153846153846,0.1111111111111111,12,6,9,1,2,0.5384615384615384,0.3333333333333333
kubota,0134,18,29,16,2,12,1,3,0.4482758620689655,0.1111111111111111,13,5,11,1,1,0.5517241379310345,0.2777777777777778
kyusojin,0134,18,51,16,2,11,1,4,0.6862745098039216,0.1111111111111111,13,5,9,1,3,0.7450980392156863,0.2777777777777778
matsuda,0134,18,59,16,2,11,1,4,0.728813559322034,0.1111111111111111,15,3,10,1,4,0.7457627118644068,0.16666666666666666
okumura,0134,18,51,16,2,11,2,3,0.6862745098039216,0.1111111111111111,8,10,5,1,2,0.8431372549019608,0.5555555555555556
ozawa,0134,18,39,14,4,9,1,4,0.641025641025641,0.2222222222222222,10,8,8,1,1,0.7435897435897436,0.4444444444444444
takeoka,0134,18,25,17,1,10,1,6,0.31999999999999995,0.05555555555555555,11,7,10,1,0,0.56,0.3888888888888889
kaneko,0135,17,33,13,4,7,3,3,0.6060606060606061,0.23529411764705882,10,7,7,3,0,0.696969696969697,0.4117647058823529
katagiri,0135,17,30,15,2,9,3,3,0.5,0.11764705882352941,12,5,8,4,0,0.6,0.29411764705882354
kojimaarai,0135,17,43,15,2,9,2,4,0.6511627906976745,0.11764705882352941,10,7,8,2,0,0.7674418604651163,0.4117647058823529
komachiya,0135,17,29,14,3,8,3,3,0.5172413793103448,0.17647058823529413,11,6,8,3,0,0.6206896551724138,0.35294117647058826
kubota,0135,17,32,14,3,8,3,3,0.5625,0.17647058823529413,10,7,8,2,0,0.6875,0.4117647058823529
kyusojin,0135,17,35,14,3,8,3,3,0.6,0.17647058823529413,12,5,8,3,1,0.6571428571428571,0.29411764705882354
matsuda,0135,17,28,13,4,8,1,4,0.5357142857142857,0.23529411764705882,9,8,8,1,0,0.6785714285714286,0.47058823529411764
okumura,0135,17,32,14,3,9,2,3,0.5625,0.17647058823529413,10,7,8,2,0,0.6875,0.4117647058823529
ozawa,0135,17,33,14,3,9,2,3,0.5757575757575757,0.17647058823529413,11,6,9,2,0,0.6666666666666667,0.35294117647058826
takeoka,0135,17,23,14,3,9,2,3,0.3913043478260869,0.17647058823529413,11,6,9,2,0,0.5217391304347826,0.35294117647058826
kaneko,0136,18,52,15,3,9,3,3,0.7115384615384616,0.16666666666666666,13,5,9,3,1,0.75,0.2777777777777778
katagiri,0136,18,37,13,5,11,1,1,0.6486486486486487,0.2777777777777778,11,7,8,1,2,0.7027027027027026,0.3888888888888889
kojimaarai,0136,18,41,12,6,10,1,1,0.7073170731707317,0.3333333333333333,8,10,7,1,0,0.8048780487804879,0.5555555555555556
komachiya,0136,18,36,14,4,10,1,3,0.6111111111111112,0.2222222222222222,11,7,7,1,3,0.6944444444444444,0.3888888888888889
kubota,0136,18,35,15,3,11,2,2,0.5714285714285714,0.16666666666666666,12,6,9,2,1,0.6571428571428571,0.3333333333333333
kyusojin,0136,18,46,12,6,10,2,0,0.7391304347826086,0.3333333333333333,9,9,6,1,2,0.8043478260869565,0.5
matsuda,0136,18,37,14,4,10,3,1,0.6216216216216216,0.2222222222222222,12,6,8,3,1,0.6756756756756757,0.3333333333333333
okumura,0136,18,33,12,6,8,1,3,0.6363636363636364,0.3333333333333333,9,9,6,1,2,0.7272727272727273,0.5
ozawa,0136,18,42,13,5,10,1,2,0.6904761904761905,0.2777777777777778,11,7,7,1,3,0.7380952380952381,0.3888888888888889
takeoka,0136,18,35,14,4,11,2,1,0.6,0.2222222222222222,12,6,8,2,2,0.6571428571428571,0.3333333333333333
kaneko,0137,14,50,12,2,8,1,3,0.76,0.14285714285714285,8,6,6,0,2,0.84,0.42857142857142855
katagiri,0137,14,26,11,3,8,2,1,0.5769230769230769,0.21428571428571427,10,4,8,2,0,0.6153846153846154,0.2857142857142857
kojimaarai,0137,14,29,10,4,8,0,2,0.6551724137931034,0.2857142857142857,8,6,8,0,0,0.7241379310344828,0.42857142857142855
komachiya,0137,14,35,11,3,8,2,1,0.6857142857142857,0.21428571428571427,10,4,8,2,0,0.7142857142857143,0.2857142857142857
kubota,0137,14,31,13,1,10,1,2,0.5806451612903225,0.07142857142857142,11,3,10,1,0,0.6451612903225806,0.21428571428571427
kyusojin,0137,14,33,10,4,8,1,1,0.696969696969697,0.2857142857142857,8,6,7,1,0,0.7575757575757576,0.42857142857142855
matsuda,0137,14,33,10,4,7,2,1,0.696969696969697,0.2857142857142857,9,5,6,3,0,0.7272727272727273,0.35714285714285715
okumura,0137,14,34,10,4,7,1,2,0.7058823529411764,0.2857142857142857,7,7,6,1,0,0.7941176470588236,0.5
ozawa,0137,14,31,9,5,7,1,1,0.7096774193548387,0.35714285714285715,7,7,7,0,0,0.7741935483870968,0.5
takeoka,0137,14,20,10,4,8,1,1,0.5,0.2857142857142857,9,5,8,1,0,0.55,0.35714285714285715
kaneko,0138,17,30,14,3,9,2,3,0.5333333333333333,0.17647058823529413,8,9,7,1,0,0.7333333333333334,0.5294117647058824
katagiri,0138,17,31,13,4,10,1,2,0.5806451612903225,0.23529411764705882,10,7,9,0,1,0.6774193548387097,0.4117647058823529
kojimaarai,0138,17,29,14,3,11,1,2,0.5172413793103448,0.17647058823529413,9,8,9,0,0,0.6896551724137931,0.47058823529411764
komachiya,0138,17,38,14,3,7,2,5,0.631578947368421,0.17647058823529413,9,8,7,1,1,0.7631578947368421,0.47058823529411764
kubota,0138,17,38,14,3,9,2,3,0.631578947368421,0.17647058823529413,9,8,8,1,0,0.7631578947368421,0.47058823529411764
kyusojin,0138,17,38,15,2,8,3,4,0.6052631578947368,0.11764705882352941,10,7,7,2,1,0.736842105263158,0.4117647058823529
matsuda,0138,17,28,12,5,7,2,3,0.5714285714285714,0.29411764705882354,8,9,7,1,0,0.7142857142857143,0.5294117647058824
okumura,0138,17,40,13,4,7,2,4,0.675,0.23529411764705882,10,7,7,1,2,0.75,0.4117647058823529
ozawa,0138,17,37,11,6,7,1,3,0.7027027027027026,0.35294117647058826,10,7,6,1,3,0.7297297297297297,0.4117647058823529
takeoka,0138,17,31,13,4,7,1,5,0.5806451612903225,0.23529411764705882,9,8,7,1,1,0.7096774193548387,0.47058823529411764
kaneko,0139,18,31,16,2,9,2,5,0.4838709677419355,0.1111111111111111,11,7,9,2,0,0.6451612903225806,0.3888888888888889
katagiri,0139,18,31,15,3,10,0,5,0.5161290322580645,0.16666666666666666,9,9,9,0,0,0.7096774193548387,0.5
kojimaarai,0139,18,27,14,4,6,3,5,0.4814814814814815,0.2222222222222222,9,9,6,3,0,0.6666666666666667,0.5
komachiya,0139,18,47,15,3,14,0,1,0.6808510638297872,0.16666666666666666,10,8,9,0,1,0.7872340425531915,0.4444444444444444
kubota,0139,18,27,14,4,12,1,1,0.4814814814814815,0.2222222222222222,10,8,9,1,0,0.6296296296296297,0.4444444444444444
