Translator,PoemID,opN,ctN,TotalMatch,Unmatch,ExactMatch,FieldMatch,GroupMatch,AdditionRate,UnmatchRate,TotalMatch_a,Unmatch_a,ExactMatch_a,FieldMatch_a,GroupMatch_a,AdditionRate_a,UnmatchRate_a
matsuda,0039,15,41,12,3,9,1,2,0.7073170731707317,0.2,10,5,9,1,0,0.7560975609756098,0.3333333333333333
okumura,0039,15,34,12,3,8,1,3,0.6470588235294117,0.2,10,5,8,0,2,0.7058823529411764,0.3333333333333333
ozawa,0039,15,40,11,4,5,1,5,0.725,0.26666666666666666,8,7,5,0,3,0.8,0.4666666666666667
takeoka,0039,15,27,12,3,9,2,1,0.5555555555555556,0.2,11,4,9,2,0,0.5925925925925926,0.26666666666666666
kaneko,0040,17,66,15,2,8,2,5,0.7727272727272727,0.11764705882352941,10,7,6,2,2,0.8484848484848485,0.4117647058823529
katagiri,0040,17,46,14,3,11,1,2,0.6956521739130435,0.17647058823529413,13,4,9,2,2,0.7173913043478262,0.23529411764705882
kojimaarai,0040,17,40,14,3,8,1,5,0.65,0.17647058823529413,12,5,8,1,3,0.7,0.29411764705882354
komachiya,0040,17,40,15,2,7,2,6,0.625,0.11764705882352941,12,5,7,2,3,0.7,0.29411764705882354
kubota,0040,17,38,16,1,12,1,3,0.5789473684210527,0.058823529411764705,13,4,10,1,2,0.6578947368421053,0.23529411764705882
kyusojin,0040,17,46,15,2,8,3,4,0.6739130434782609,0.11764705882352941,12,5,7,3,2,0.7391304347826086,0.29411764705882354
matsuda,0040,17,39,14,3,9,1,4,0.641025641025641,0.17647058823529413,10,7,8,1,1,0.7435897435897436,0.4117647058823529
okumura,0040,17,46,14,3,7,1,6,0.6956521739130435,0.17647058823529413,8,9,6,1,1,0.8260869565217391,0.5294117647058824
ozawa,0040,17,42,14,3,6,3,5,0.6666666666666667,0.17647058823529413,10,7,5,3,2,0.7619047619047619,0.4117647058823529
takeoka,0040,17,38,14,3,10,2,2,0.631578947368421,0.17647058823529413,12,5,10,2,0,0.6842105263157895,0.29411764705882354
kaneko,0041,17,35,16,1,9,3,4,0.5428571428571429,0.058823529411764705,12,5,8,3,1,0.6571428571428571,0.29411764705882354
katagiri,0041,17,44,16,1,9,3,4,0.6363636363636364,0.058823529411764705,11,6,8,1,2,0.75,0.35294117647058826
kojimaarai,0041,17,30,14,3,10,2,2,0.5333333333333333,0.17647058823529413,11,6,8,2,1,0.6333333333333333,0.35294117647058826
komachiya,0041,17,35,16,1,9,3,4,0.5428571428571429,0.058823529411764705,12,5,8,2,2,0.6571428571428571,0.29411764705882354
kubota,0041,17,45,16,1,10,1,5,0.6444444444444444,0.058823529411764705,13,4,10,1,2,0.7111111111111111,0.23529411764705882
kyusojin,0041,17,47,16,1,12,2,2,0.6595744680851063,0.058823529411764705,13,4,10,1,2,0.7234042553191489,0.23529411764705882
matsuda,0041,17,33,15,2,10,1,4,0.5454545454545454,0.11764705882352941,12,5,10,1,1,0.6363636363636364,0.29411764705882354
okumura,0041,17,44,13,4,7,3,3,0.7045454545454546,0.23529411764705882,11,6,7,2,2,0.75,0.35294117647058826
ozawa,0041,17,56,14,3,9,2,3,0.75,0.17647058823529413,10,7,6,2,2,0.8214285714285714,0.4117647058823529
takeoka,0041,17,56,16,1,11,2,3,0.7142857142857143,0.058823529411764705,11,6,10,1,0,0.8035714285714286,0.35294117647058826
kaneko,0042,17,47,14,3,8,3,3,0.7021276595744681,0.17647058823529413,11,6,8,3,0,0.7659574468085106,0.35294117647058826
katagiri,0042,17,46,15,2,8,3,4,0.6739130434782609,0.11764705882352941,13,4,6,2,5,0.7173913043478262,0.23529411764705882
kojimaarai,0042,17,42,15,2,8,3,4,0.6428571428571428,0.11764705882352941,12,5,6,2,4,0.7142857142857143,0.29411764705882354
komachiya,0042,17,41,14,3,5,2,7,0.6585365853658536,0.17647058823529413,9,8,4,1,4,0.7804878048780488,0.47058823529411764
kubota,0042,17,41,16,1,11,0,5,0.6097560975609756,0.058823529411764705,12,5,11,0,1,0.7073170731707317,0.29411764705882354
