: | 
01:000108 | 花のちることやわひしき春霞立田の山の鴬のこゑ
01:000294:0009 C00 BG-01-2590-02-0600 02 唐 唐 から 唐 から 
01:000294:0009 C01 BG-01-5020-04-0500 02 くれない くれない くれない くれない くれない 
01:000294:0010 A00 BG-08-0061-05-0100 61 に に に に に 
01:000294:0011 A00 BG-01-5130-03-0201 02 水 水 みづ 水 みづ 
01:000294:0012 A00 BG-02-1516-02-1600 47 くゝる 潜る くぐる 潜る くぐる 
01:000294:0012 A10 BG-02-1541-05-0400 47 くゝる 潜る くぐる 潜る くぐる 
01:000294:0013 A00 BG-08-0061-04-0100 61 と と と と と 
01:000294:0014 A00 BG-08-0065-07-0100 65 は は は は は 
01:000298 | 立田姫たむくる神のあれはこそ秋のこのはのぬさとちるらめ
01:000298:0001 D00 CH-29-2130-01-0100 11 立田姫 立田姫 たつたひめ 立田姫 たつたひめ 
01:000298:0001 E00 CH-29-0000-00-1800 11 立田 立田 たつた 立田 たつた 
01:000298:0001 E01 BG-01-2030-01-1001 02 姫 姫 ひめ 姫 ひめ 
01:000298:0002 B00 BG-02-3770-04-0800 47 たむくる 手向く たむく 手向くる たむくる 
01:000298:0002 C00 BG-01-5730-02-0100 02 手 手 て 手 て 
01:000298:0002 C01 BG-02-1700-01-0400 47 向ける 向ける むける 向ける むける 
01:000298:0003 A00 BG-01-2030-01-0300 02 神 神 かみ 神 かみ 
01:000298:0004 A00 BG-08-0061-07-0100 61 の の の の の 
01:000298:0005 A00 BG-02-1200-01-0102 47 あれ 有り あり 有れ あれ 
01:000298:0006 A00 BG-08-0064-26-0100 64 は ば ば ば ば 
01:000298:0007 A00 BG-08-0065-01-0100 65 こそ こそ こそ こそ こそ 
01:000298:0008 A00 BG-01-1624-04-0100 02 秋 秋 あき 秋 あき 
01:000298:0009 A00 BG-08-0061-07-0100 61 の の の の の 
01:000298:0010 A00 BG-01-5510-02-0101 02 こ 木 こ 木 こ 
01:000298:0011 A00 BG-08-0061-07-0100 61 の の の の の 
01:000298:0012 A00 BG-01-5530-09-0100 02 は 葉 は 葉 は 
01:000298:0013 A00 BG-08-0061-07-0100 61 の の の の の 
01:000298:0014 A00 BG-01-4500-02-1700 02 ぬさ 幣 ぬさ 幣 ぬさ 
